is_twap,is_aon,is_rl_seed_ens
480.20093448265993,221.66990316189634,581.5661589733618
218.5320986826236,13.774096543317125,254.42437896370507
24.905067918563056,49.110485459942446,22.928814178275196
42.86621199821747,72.18444211480005,33.98064024971613
-106.8742956464649,-28.2753733810895,-159.48969252980473
-89.08545255734444,-155.73372316791045,-131.18825394940785
138.10974271765983,37.253719984352784,160.80579573730978
-60.00873048702489,93.60711594355907,22.319081353078086
119.99282476351127,32.895123990491484,180.21565818249735
29.72146610050862,48.648410798357844,43.83077332407476
-126.45936666297976,81.27699439455239,-170.23259788121294
-75.26025373423498,16.900305468749348,-127.98539519691035
-591.5159475960874,-267.63517909729217,-464.54022441152983
-350.21230570416054,-221.9464443218435,-171.4542002913501
-74.37932903895285,-529.5889732992141,210.377536865821
619.369677270974,169.53542737558467,754.4999165822153
-21.14514825047422,-14.26495092523097,7.595908438533854
11.17498308948801,-18.70089045771861,30.591506392017948
-138.1972283944505,-2.643910908212956,-157.46409421455053
-161.9116225225263,14.55441848380567,-166.56684704114343
90.13225784372037,-80.958598820194,191.78846059221962
-480.17417673616046,-408.510487725043,-548.1004963489972
-99.37924544970961,-85.35579170598278,-192.32874406925566
394.74567961312306,185.47150929079407,656.3635177101994
320.6947152437054,-3.8601694042562427,698.6112794857507
253.91870717421853,27.77436895318277,338.31760584693603
306.8158162225423,133.78569605517873,383.26215716691934
304.35784373735487,30.896797871492055,416.9020729073125
-96.38799071173301,-156.3908661022054,-198.45447720856356
57.21550340584618,288.40472336921385,-88.78908461160185
