ts,open,high,low,close,volume
2026-07-18T18:00:00+00:00,1852.83,1867.58,1850.01,1857.54,14122.0506
2026-07-18T19:00:00+00:00,1857.53,1861.4,1855.92,1858.45,4736.7702
2026-07-18T20:00:00+00:00,1858.45,1863.37,1855.47,1857.34,4134.2864
2026-07-18T21:00:00+00:00,1857.35,1863.18,1855.96,1860.97,4154.9408
2026-07-18T22:00:00+00:00,1860.97,1865.86,1859.9,1863.7,3378.2577
2026-07-18T23:00:00+00:00,1863.7,1864.45,1860.1,1862.61,2008.8091
2026-07-19T00:00:00+00:00,1862.61,1863.88,1859.2,1861.45,3154.5044
2026-07-19T01:00:00+00:00,1861.45,1861.53,1858.3,1859.18,7970.3536
2026-07-19T02:00:00+00:00,1859.19,1877.33,1858.17,1871.44,11041.838
2026-07-19T03:00:00+00:00,1871.45,1872.99,1863.84,1867.08,5220.7991
2026-07-19T04:00:00+00:00,1867.08,1870.2,1864.21,1867.33,3479.1037
2026-07-19T05:00:00+00:00,1867.32,1870.2,1865.61,1868.56,2772.5257
2026-07-19T06:00:00+00:00,1868.55,1871.43,1868.2,1869.39,2878.4911
2026-07-19T07:00:00+00:00,1869.39,1871.99,1867.14,1870.25,8010.6219
2026-07-19T08:00:00+00:00,1870.26,1875.33,1867.76,1873.88,4893.8984
2026-07-19T09:00:00+00:00,1873.89,1874.17,1864.55,1866.16,5004.0263
2026-07-19T10:00:00+00:00,1866.15,1879.38,1863.46,1872.25,5628.6517
2026-07-19T11:00:00+00:00,1872.25,1878.86,1870.0,1871.41,6296.8803
2026-07-19T12:00:00+00:00,1871.4,1874.34,1864.47,1870.38,6783.9561
2026-07-19T13:00:00+00:00,1870.39,1873.77,1865.89,1871.83,4460.4469
2026-07-19T14:00:00+00:00,1871.83,1879.26,1868.89,1874.69,5952.7499
2026-07-19T15:00:00+00:00,1874.69,1876.0,1868.93,1870.91,6545.9297
2026-07-19T16:00:00+00:00,1870.91,1873.59,1866.0,1866.8,5220.8065
2026-07-19T17:00:00+00:00,1866.8,1873.85,1857.77,1867.23,8572.9874
2026-07-19T18:00:00+00:00,1867.23,1867.7,1851.71,1861.12,9549.4778
2026-07-19T19:00:00+00:00,1861.12,1862.77,1854.84,1862.37,3960.7276
2026-07-19T20:00:00+00:00,1862.37,1867.15,1862.2,1867.14,4536.0742
2026-07-19T21:00:00+00:00,1867.15,1868.23,1857.49,1862.12,4337.5897
2026-07-19T22:00:00+00:00,1862.12,1877.03,1857.0,1870.44,12354.1161
2026-07-19T23:00:00+00:00,1870.44,1874.94,1865.0,1872.23,5296.1101
2026-07-20T00:00:00+00:00,1872.24,1891.71,1862.08,1872.14,15861.9496
2026-07-20T01:00:00+00:00,1872.14,1889.94,1865.84,1869.56,9872.3833
2026-07-20T02:00:00+00:00,1869.57,1883.33,1867.71,1879.06,8547.5294
2026-07-20T03:00:00+00:00,1879.06,1882.24,1870.91,1879.94,6045.7088
2026-07-20T04:00:00+00:00,1879.94,1879.99,1868.46,1868.94,5573.2852
2026-07-20T05:00:00+00:00,1868.95,1869.94,1851.5,1855.45,12336.3044
2026-07-20T06:00:00+00:00,1855.46,1860.23,1843.14,1849.73,13729.7978
2026-07-20T07:00:00+00:00,1849.73,1865.54,1849.26,1863.95,9727.2283
2026-07-20T08:00:00+00:00,1863.95,1868.53,1854.31,1861.01,13950.4369
2026-07-20T09:00:00+00:00,1861.0,1867.55,1857.95,1864.16,7006.2645
2026-07-20T10:00:00+00:00,1864.15,1872.35,1862.71,1868.85,5036.692
2026-07-20T11:00:00+00:00,1868.86,1896.5,1868.06,1893.2,18098.9331
2026-07-20T12:00:00+00:00,1893.21,1893.62,1871.88,1873.33,12117.1329
2026-07-20T13:00:00+00:00,1873.34,1880.61,1857.63,1862.68,16464.2655
2026-07-20T14:00:00+00:00,1862.68,1871.96,1853.65,1868.01,11921.8963
2026-07-20T15:00:00+00:00,1868.01,1904.92,1867.65,1902.34,24635.4223
2026-07-20T16:00:00+00:00,1902.34,1906.76,1893.8,1899.41,16492.3726
2026-07-20T17:00:00+00:00,1899.41,1909.74,1895.68,1907.78,14035.2481
2026-07-20T18:00:00+00:00,1907.78,1918.16,1897.52,1899.52,17782.6016
2026-07-20T19:00:00+00:00,1899.52,1901.07,1890.07,1898.46,9999.6736
2026-07-20T20:00:00+00:00,1898.46,1906.55,1896.2,1904.84,5357.4613
2026-07-20T21:00:00+00:00,1904.83,1907.58,1902.0,1902.45,4827.6437
2026-07-20T22:00:00+00:00,1902.46,1902.58,1894.4,1895.72,5412.8433
2026-07-20T23:00:00+00:00,1895.72,1905.26,1895.33,1904.77,6362.5585
2026-07-21T00:00:00+00:00,1904.77,1917.79,1900.74,1914.8,10211.2262
2026-07-21T01:00:00+00:00,1914.8,1918.18,1907.0,1907.49,6792.7873
2026-07-21T02:00:00+00:00,1907.49,1924.0,1904.6,1917.3,8843.7731
2026-07-21T03:00:00+00:00,1917.3,1928.57,1916.94,1926.75,13542.5425
2026-07-21T04:00:00+00:00,1926.74,1931.2,1922.59,1924.59,8633.194
2026-07-21T05:00:00+00:00,1924.59,1936.0,1921.81,1930.56,9084.2452
2026-07-21T06:00:00+00:00,1930.56,1939.99,1927.8,1935.03,10889.2213
2026-07-21T07:00:00+00:00,1935.03,1940.25,1933.42,1934.08,11949.4809
2026-07-21T08:00:00+00:00,1934.07,1953.0,1931.63,1939.8,29993.0476
2026-07-21T09:00:00+00:00,1939.79,1944.17,1936.75,1942.22,34313.1419
